Effective_Date,Security_ID,TASE_Symbol,US_Ticker,Weight
11/6/2025,1082379,TSEM,TSEM,7.53044
11/6/2025,629014,TEVA,TEVA,6.32339
11/6/2025,720011,ENLT,ENLT,5.87202
11/6/2025,1095264,CAMT,CAMT,5.54458
11/6/2025,1134402,ORA,ORA,5.42165
11/6/2025,1084557,NVMI,NVMI,5.12143
11/6/2025,1081124,ESLT,ESLT,4.61308
11/6/2025,281014,ICL,ICL,4.13484
11/6/2025,273011,NICE,NICE,3.60835
2/5/2026,629014,TEVA,TEVA,7.99087
2/5/2026,720011,ENLT,ENLT,7.68231
2/5/2026,1082379,TSEM,TSEM,7.4121
2/5/2026,1081124,ESLT,ESLT,6.14483
2/5/2026,1084557,NVMI,NVMI,5.57225
2/5/2026,1134402,ORA,ORA,5.14668
2/5/2026,1095264,CAMT,CAMT,5.021
2/5/2026,281014,ICL,ICL,3.78765
2/5/2026,273011,NICE,NICE,3.64473
